sale_id,customer_id,product_id,sale_date,quantity,unit_price,discount
1,443,84,2025-08-19,5,807.41,0.05
2,396,80,2026-07-02,1,1279.36,0.1
3,479,49,2026-02-12,4,1397.41,0.1
4,421,99,2026-01-21,5,1655.0,0.1
5,372,95,2026-06-02,1,1416.84,0.1
6,444,59,2026-02-21,3,1764.45,0.15
7,276,79,2025-10-13,2,1948.85,0.15
8,171,81,2026-01-05,4,1746.71,0.1
9,234,93,2026-01-01,5,321.5,0.15
10,358,18,2025-07-23,3,164.19,0.05
11,120,20,2025-07-29,2,310.15,0.15
12,163,10,2026-05-01,4,109.93,0.0
13,198,25,2026-02-19,4,959.19,0.15
14,494,13,2025-09-08,2,1229.18,0.15
15,258,80,2025-08-04,1,1279.36,0.05
16,446,31,2026-02-02,5,63.66,0.1
17,52,61,2025-09-23,1,993.67,0.15
18,8,28,2025-09-28,5,553.14,0.15
19,446,11,2025-09-05,2,275.34,0.15
20,241,25,2026-06-10,2,959.19,0.0
21,320,40,2025-09-05,3,1899.73,0.1
22,437,14,2026-04-03,4,1662.83,0.0
23,489,90,2026-04-09,3,129.86,0.15
24,447,53,2026-03-06,3,1646.44,0.15
25,317,25,2025-10-13,5,959.19,0.0
26,324,78,2026-04-25,1,1418.96,0.05
27,383,28,2025-11-03,3,553.14,0.05
28,51,12,2026-01-31,1,1975.91,0.15
29,86,90,2025-12-21,1,129.86,0.15
30,24,17,2026-03-09,3,974.35,0.0
31,151,10,2026-06-20,3,109.93,0.0
32,221,86,2026-03-12,3,1987.9,0.1
33,272,31,2026-04-13,2,63.66,0.05
34,88,43,2025-09-19,4,1536.13,0.05
35,313,99,2026-03-08,2,1655.0,0.0
36,255,74,2025-09-07,4,391.17,0.05
37,119,60,2025-10-25,5,1224.56,0.05
38,236,30,2026-05-18,4,1682.61,0.1
39,461,82,2026-05-21,3,962.64,0.0
40,347,40,2025-07-27,4,1899.73,0.1
41,38,48,2025-07-19,5,1188.27,0.05
42,301,8,2026-02-20,4,1786.39,0.1
43,354,36,2026-01-30,3,1506.5,0.15
44,433,14,2026-03-15,3,1662.83,0.15
45,197,72,2026-06-21,3,620.18,0.05
46,122,65,2026-01-03,4,1442.95,0.0
47,295,88,2025-08-19,4,766.95,0.1
48,12,53,2026-02-11,3,1646.44,0.1
49,5,26,2026-05-30,4,1708.36,0.1
50,467,65,2026-03-28,5,1442.95,0.0
51,427,85,2026-04-12,5,311.94,0.15
52,311,90,2025-12-26,3,129.86,0.05
53,326,53,2026-04-27,3,1646.44,0.05
54,348,7,2025-08-19,2,495.53,0.1
55,463,88,2025-12-22,2,766.95,0.0
56,404,20,2026-03-16,1,310.15,0.1
57,297,90,2025-09-22,4,129.86,0.0
58,47,23,2026-01-29,3,421.6,0.05
59,383,71,2025-09-19,3,668.27,0.1
60,103,80,2026-01-25,4,1279.36,0.05
61,272,49,2025-11-07,2,1397.41,0.1
62,426,30,2026-04-16,5,1682.61,0.1
63,468,40,2026-03-28,2,1899.73,0.1
64,383,13,2025-12-05,4,1229.18,0.1
65,240,32,2026-05-16,3,1329.37,0.0
66,387,75,2025-10-09,1,1451.92,0.05
67,496,15,2026-07-14,2,1489.87,0.15
68,47,46,2026-04-19,5,1858.49,0.1
69,136,75,2026-02-15,4,1451.92,0.0
70,233,67,2026-04-22,5,901.87,0.0
71,300,39,2026-05-22,3,1564.65,0.1
72,56,16,2026-05-22,4,1506.04,0.1
73,13,43,2026-03-01,2,1536.13,0.15
74,469,21,2026-05-26,5,1415.77,0.1
75,332,100,2026-02-18,5,1587.33,0.05
76,466,8,2026-03-18,1,1786.39,0.15
77,60,75,2026-01-30,3,1451.92,0.15
78,485,44,2026-02-01,2,1927.83,0.0
79,253,67,2026-02-08,1,901.87,0.1
80,121,49,2026-05-17,1,1397.41,0.0
81,199,8,2026-07-01,5,1786.39,0.05
82,344,34,2026-04-04,4,527.71,0.1
83,301,4,2026-02-12,5,101.97,0.15
84,336,32,2026-01-17,2,1329.37,0.15
85,316,24,2026-06-25,1,1892.66,0.15
86,17,68,2026-01-09,4,450.98,0.1
87,228,80,2026-07-10,3,1279.36,0.05
88,438,36,2025-09-29,4,1506.5,0.05
